author,message,ID,date,datetime,channel
LeCerial,engage fed mode,252070848800882688,916752545165226105,2021-12-04 18:07:19.206,870997447374176267
LeCerial,bbrank,252070848800882688,916740901840232518,2021-12-04 17:21:03.221,870997447374176267
LeCerial,bbrank,252070848800882688,916735190037037076,2021-12-04 16:58:21.421,870997447374176267
LeCerial,bbhelp,252070848800882688,916732437256618014,2021-12-04 16:47:25.107,870997447374176267
Truxa,bbrank,190897913314934784,916732221832978453,2021-12-04 16:46:33.746,870997447374176267
Truxa,lmaooooo,190897913314934784,916732214727819286,2021-12-04 16:46:32.052,870997447374176267
Truxa,lmaoo,190897913314934784,916732207035482132,2021-12-04 16:46:30.218,870997447374176267
Truxa,lmaooo,190897913314934784,916732198860763156,2021-12-04 16:46:28.269,870997447374176267
Truxa,bbrank,190897913314934784,916732192451887188,2021-12-04 16:46:26.741,870997447374176267
LeCerial,bbrank,252070848800882688,916732161661485106,2021-12-04 16:46:19.400,870997447374176267
LeCerial,reset score,252070848800882688,916732147522486372,2021-12-04 16:46:16.029,870997447374176267
LeCerial,lmao,252070848800882688,916731911987146763,2021-12-04 16:45:19.873,870997447374176267
LeCerial,lmao,252070848800882688,916731908744966174,2021-12-04 16:45:19.100,870997447374176267
LeCerial,lmao,252070848800882688,916731905171406878,2021-12-04 16:45:18.248,870997447374176267
LeCerial,lmao,252070848800882688,916731892575903794,2021-12-04 16:45:15.245,870997447374176267
LeCerial,bbrank,252070848800882688,916731508746780712,2021-12-04 16:43:43.733,870997447374176267
LeCerial,fuck you villain,252070848800882688,916729895709732995,2021-12-04 16:37:19.155,870997447374176267
LeCerial,bbrank,252070848800882688,916729707842633789,2021-12-04 16:36:34.364,870997447374176267
LeCerial,reset score,252070848800882688,916729696132165692,2021-12-04 16:36:31.572,870997447374176267
LeCerial,bbrank,252070848800882688,916729685528940634,2021-12-04 16:36:29.044,870997447374176267
LeCerial,bbrank,252070848800882688,916729009260331089,2021-12-04 16:33:47.809,870997447374176267
LeCerial,reset score,252070848800882688,916728996828446821,2021-12-04 16:33:44.845,870997447374176267
LeCerial,bbrank,252070848800882688,916728984509759559,2021-12-04 16:33:41.908,870997447374176267
LeCerial,bbrank,252070848800882688,916728840473182300,2021-12-04 16:33:07.567,870997447374176267
LeCerial,bbrank,252070848800882688,916728242369613884,2021-12-04 16:30:44.968,870997447374176267
LeCerial,reset score,252070848800882688,916728230432628796,2021-12-04 16:30:42.122,870997447374176267
LeCerial,bbrank,252070848800882688,916728203882688532,2021-12-04 16:30:35.792,870997447374176267
LeCerial,bbrank,252070848800882688,916728132537581588,2021-12-04 16:30:18.782,870997447374176267
LeCerial,reset score,252070848800882688,916728118679601223,2021-12-04 16:30:15.478,870997447374176267
LeCerial,bbrank,252070848800882688,916727835220127794,2021-12-04 16:29:07.896,870997447374176267
LeCerial,reset score,252070848800882688,916727816173789264,2021-12-04 16:29:03.355,870997447374176267
LeCerial,bbrank,252070848800882688,916727500137193503,2021-12-04 16:27:48.006,870997447374176267
LeCerial,bbrank,252070848800882688,916727492734251038,2021-12-04 16:27:46.241,870997447374176267
LeCerial,bbrank,252070848800882688,916727487743025234,2021-12-04 16:27:45.051,870997447374176267
LeCerial,bbrank,252070848800882688,916727470630273064,2021-12-04 16:27:40.971,870997447374176267
LeCerial,bbrank,252070848800882688,916727452305358899,2021-12-04 16:27:36.602,870997447374176267
LeCerial,bbfuck,252070848800882688,916727440951369790,2021-12-04 16:27:33.895,870997447374176267
LeCerial,bbrank,252070848800882688,916727393555710042,2021-12-04 16:27:22.595,870997447374176267
LeCerial,engage fed mode,252070848800882688,916727242875371551,2021-12-04 16:26:46.670,870997447374176267
LeCerial,bbrank,252070848800882688,916726966177120286,2021-12-04 16:25:40.700,870997447374176267
LeCerial,bbrank,252070848800882688,916726626400763964,2021-12-04 16:24:19.691,870997447374176267
LeCerial,Hello,252070848800882688,916726591302795284,2021-12-04 16:24:11.323,870997447374176267
LeCerial,bbrank,252070848800882688,916726135759470692,2021-12-04 16:22:22.713,870997447374176267
LeCerial,bbrank,252070848800882688,916725240804048916,2021-12-04 16:18:49.339,870997447374176267
LeCerial,reset score,252070848800882688,916725206071009320,2021-12-04 16:18:41.058,870997447374176267
Truxa,bbrank,190897913314934784,916723237768036453,2021-12-04 16:10:51.778,870997447374176267
LeCerial,bbrank,252070848800882688,916723144272793660,2021-12-04 16:10:29.487,870997447374176267
LeCerial,reset score,252070848800882688,916723132189016164,2021-12-04 16:10:26.606,870997447374176267
LeCerial,bbrank,252070848800882688,916723057568124948,2021-12-04 16:10:08.815,870997447374176267
LeCerial,reset score,252070848800882688,916723026425417779,2021-12-04 16:10:01.390,870997447374176267
LeCerial,bbrank,252070848800882688,916722895504433223,2021-12-04 16:09:30.176,870997447374176267
LeCerial,engage fed mode,252070848800882688,916718553409912864,2021-12-04 15:52:14.940,870997447374176267
LeCerial,engage fed mode,252070848800882688,916716792376885248,2021-12-04 15:45:15.077,870997447374176267
LeCerial,bbrank,252070848800882688,916714329754173580,2021-12-04 15:35:27.942,870997447374176267
LeCerial,reset score,252070848800882688,916714312909860915,2021-12-04 15:35:23.926,870997447374176267
LeCerial,bbrank,252070848800882688,916714292202569788,2021-12-04 15:35:18.989,870997447374176267
LeCerial,bbrank,252070848800882688,916713915495378964,2021-12-04 15:33:49.175,870997447374176267
LeCerial,engage fed mode,252070848800882688,916713222185300060,2021-12-04 15:31:03.877,870997447374176267
LeCerial,engage fed mode,252070848800882688,916712875324768296,2021-12-04 15:29:41.179,870997447374176267
LeCerial,bbrank,252070848800882688,916712842068103248,2021-12-04 15:29:33.250,870997447374176267
LeCerial,reset score,252070848800882688,916712832744177696,2021-12-04 15:29:31.027,870997447374176267
LeCerial,bbrank,252070848800882688,916712771322789909,2021-12-04 15:29:16.383,870997447374176267
LeCerial,reset score,252070848800882688,916712759473885214,2021-12-04 15:29:13.558,870997447374176267
